Object,Arc_length,reason
2017 FB9, 13, mislinkage
2014 FR97, 34, mislinkage
2014 EY162, 23, mislinkage see mag residual
2014 ER176, 25, mislinkage see mag residual
2009 US21, 24, mislinkage
2002 JG148, 20, mislinkage
2016 CV88, 51, mislinkage
2023 UG88, 29, mislinkage
2022 TD25, 28, mislinkage per R. Weryk (submitted to MPC)
2014 QJ274, 95, mislinkage
2009 VW92, 22, mislinkage
2025 XL21, 35, mislinkage (submitted to MPC)
2014 VY35, 51, mislinkage
2015 MR207, 32, mislinkage
2022 PH33, 56, mislinkage
2013 HH96, 9, mislinkage
2023 WA39, 20, mislinkage
2014 EL209, 5, suspect photometry issue W84
2014 EA155, 3, suspect photometry issue W84
2014 EJ202, 3, suspect photometry issue W84
2014 EM167, 3, suspect photometry issue W84
2014 EW127, 2, suspect photometry issue W84
2014 EC83, 3, suspect photometry issue W84
2014 EU140, 2, suspect photometry issue W84
2014 EE128, 2, suspect photometry issue W84
2018 XL16, 34,  mislinkage
2021 VX54, 11, mislinkage
2017 VJ70, 14, mislinkage
2014 WL185, 31, recovered by Sam Deen but cannot send in because of SARC
2014 ET220, 2, suspect photometry issue W84
2014 EP202, 5, suspect photometry issue W84
2023 UT81, 24, likely mislinkage
2010 KU21, 4, no photometry
2025 WW35, 30, ITF linkage pending
2025 PC98, 11, DESDES pending
2025 PV20, 14, DESDES pending
2025 OC88, 42, DESDES pending
2025 OX222, 119, extension pending
2025 PS140, 21, DESDES pending
2025 PW69, 29, DESDES pending
2020 BO58, 11, extension pending
2013 CA140, 47, likely mislinkage
2025 PC158, 27, DESDES pending
2025 NQ116, 25, DESDES pending
2025 MW109, 38, is actually 139P ID is pending
2023 UX43, 23, mislinkage
2006 QV187, 26, mislinkage
2012 XZ20, 18, extension pending
2018 AM82, 25, mislinkage
2025 PZ39, 13, extension pending
2022 UA123, 70, mislinkage per S. Deen
2025 NT80, 48, DESDES pending
2022 YY7, 49, extension pending
2013 RY117, 32, fits with tracklet C4NWY22
2025 NS200, 10, extension pending
2025 MY108, 23, extension pending
2014 LC42, 52, likely mislinkage due to photometric residual
2025 MY159, 48, DESDES pending
2014 GY102, 20, likely mislinkage due to photometric residual
2025 NS73, 53, DESDES pending
2025 OM261, 125, extension pending
2025 NZ147, 52, DESDES pending
2025 OJ356, 40, extension pending
