Object,reason
2024 SV79, pending numbered identification
2024 SW79, pending numbered identification
2024 SX79, pending numbered identification
2024 SY79, pending numbered identification
2020 PB54, Sam Deen has arc extension but is waiting on SARC approval
2002 PA52, found on two other opps but canot submit singletons
1988 RH9, likely does not exist after hearing Peter Thomas's (Oakleigh Australia) research into the plates
2014 EQ71, multiopp mislinkage
2021 UA56, recovered by Sam Deen but waiting on SARC approval
2019 GT10, recovered by Sam Deen but waiting on SARC approval
2024 RY100, recovered by Sam Deen but waiting on SARC approval
2015 KD329, multiopp mislinkage
2003 GO19, multiopp mislinkage
2025 NA173, actually 261P
2025 ME357, actually 94P
2025 NR197, actually 2P
2013 SO107, recovered by Sam Deen but waiting on SARC approval
2013 AP182, multiopp mislinkage
2018 RC75, multiopp mislinkage
2025 MJ354, actually 70P
2015 DS183, multiopp mislinkage
2014 EY247, multiopp mislinkage
2014 EU123, multiopp mislinkage
2013 EH143, multiopp mislinkage
2025 MT356, actually 243P
2013 EE143, multiopp mislinkage
2014 EC59, suspect photometry
2014 ER60, suspect photometry
2010 MY6, multiopp mislinkage
2020 TB66, multiopp mislinkage
2007 VD199, multiopp mislinkage
2020 RE97, multiopp mislinkage
2016 EM354, multiopp mislinkage
2014 QS209, multiopp mislinkage
2014 EF94, multiopp mislinkage
2014 HT351, multiopp mislinkage
2014 HB506, multiopp mislinkage
2020 SN84, multiopp mislinkage
2013 YS132, multiopp mislinkage
2016 UJ137, multiopp mislinkage
